,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_eye_0,0.6595105414910314,0.5396625070508492,0.04503800158766353,0.04503800158766353,0.9271114100272908,1.0
spapros_0_eye_1,0.6885396057079938,0.5669210226643374,0.05100923132265532,0.05100923132265532,0.9294311971502209,1.0
spapros_0_eye_2,0.7102938338934403,0.5526913314160089,0.045459600118553954,0.045459600118553954,0.9254855929496725,1.0
spapros_0_eye_3,0.6606839742062137,0.5476807270640643,0.051010605306472785,0.051010605306472785,0.9185493940199222,0.9790123456790122
spapros_0_eye_4,0.5623742102128902,0.4606405016002283,0.03232646329784578,0.03232646329784578,0.8964943648823195,0.8735772357723568
spapros_0_eye_5,0.3126627231076986,0.32072914725839496,0.014656492487729609,0.014656492487729609,0.6877223383211811,0.16482132654245102
spapros_0_eye_6,0.7228126364816665,0.6258524155143841,0.05926352939828915,0.05926352939828915,0.9559855323135176,1.0
spapros_0_eye_7,0.6952759816692152,0.5847363722667771,0.05316427471053615,0.05316427471053615,0.9457859672513104,1.0
spapros_0_eye_8,0.5927984678005342,0.4825008815170417,0.03502692911149716,0.03502692911149716,0.9216071274219373,0.9940379403794029
spapros_0_eye_9,0.7155978131531016,0.5983316847294409,0.054846106334822106,0.054846106334822106,0.9572523800376648,1.0
spapros_0_eye_10,0.705882523416193,0.5923570238569393,0.049839082897121564,0.049839082897121564,0.9519120443956681,1.0
spapros_0_eye_11,0.650601409527342,0.546438692763501,0.04343085309871904,0.04343085309871904,0.9228465766796875,0.9616666666666668
spapros_0_eye_12,0.5006915228908696,0.4361021520495319,0.02727220259869036,0.02727220259869036,0.8761821739502968,0.8412780480140996
spapros_0_eye_13,0.5323386060711441,0.43552860958420236,0.026844270336588136,0.026844270336588136,0.8905303459692687,0.9617460317460316
spapros_0_eye_14,0.5902614579476615,0.4965224733589132,0.03593566962348598,0.03593566962348598,0.9107710755385435,0.8888888888888888
spapros_0_eye_15,0.7031194834004919,0.5764435114425039,0.049397579366304414,0.049397579366304414,0.9407486867238014,1.0
spapros_0_eye_16,0.6530883364713784,0.576460415400992,0.04943862609312148,0.04943862609312148,0.9432901768383873,1.0
spapros_0_eye_17,0.6773972263567634,0.5557773788976568,0.046235521520320504,0.046235521520320504,0.9249406150635715,1.0
spapros_0_eye_18,0.7032548273224686,0.5601884428714792,0.04783644322097326,0.04783644322097326,0.9300754482823691,1.0
spapros_0_eye_19,0.7063345963670682,0.5985350135704831,0.05633383794653703,0.05633383794653703,0.9452228221297,1.0
spapros_0_eye_20,0.7058374597076077,0.576034008220914,0.05094795589518652,0.05094795589518652,0.951063120139119,1.0
spapros_0_eye_21,0.716580422074627,0.582443766679113,0.049627606894304725,0.049627606894304725,0.9375499965133892,1.0
spapros_0_eye_22,0.6835823167168437,0.5604467726950316,0.04480389820396891,0.04480389820396891,0.9349415048739953,1.0
spapros_0_eye_23,0.6716227019543597,0.5478059585060968,0.04895956913167697,0.04895956913167697,0.9366283898065819,1.0
spapros_0_eye_24,0.6666520219208913,0.5625716570394594,0.04527120647031217,0.04527120647031217,0.9475623609667184,1.0
spapros_0_eye_25,0.7093183313612226,0.5762596454492345,0.047567761625255514,0.047567761625255514,0.9493946478234153,1.0
spapros_0_eye_26,0.6490274176221356,0.5299830059785228,0.042646764181658345,0.042646764181658345,0.9407888759169984,1.0
spapros_0_eye_27,0.6514390616714778,0.5251274384143524,0.03995187998949337,0.03995187998949337,0.930556363099719,0.9587037037037036
spapros_0_eye_28,0.6986108380460838,0.5536483791000466,0.0442082071189018,0.0442082071189018,0.9417078053651644,1.0
spapros_0_eye_29,0.6918888248139153,0.5667926888652761,0.046337481898015315,0.046337481898015315,0.9400914792129237,1.0
spapros_0_eye_30,0.699876943133007,0.5764547380245062,0.04975751249936547,0.04975751249936547,0.9467261685889662,1.0
spapros_0_eye_31,0.711920128208168,0.587929812586052,0.0505061638965451,0.0505061638965451,0.9437141154336417,1.0
spapros_0_eye_32,0.6771888063303124,0.5639372967793047,0.04743197176571872,0.04743197176571872,0.9448831326991566,1.0
spapros_0_eye_33,0.6548545351373622,0.5344089316492937,0.04036131681325061,0.04036131681325061,0.9504843916580408,1.0
spapros_0_eye_34,0.704940350240923,0.5548019073750061,0.04486943598066203,0.04486943598066203,0.9324096217687949,1.0
spapros_0_eye_35,0.7011921598899549,0.5737281246054394,0.04902929139263502,0.04902929139263502,0.9423911046661524,1.0
spapros_0_eye_36,0.687841075833605,0.5567072735877858,0.04754825328720912,0.04754825328720912,0.9377246528734625,1.0
spapros_0_eye_37,0.7152912757348452,0.5762649913534559,0.05142745340445372,0.05142745340445372,0.9405988718933832,1.0
spapros_0_eye_38,0.6716079587990428,0.5594554168057941,0.043216464645989605,0.043216464645989605,0.9504335911472466,1.0
spapros_0_eye_39,0.6856228692951254,0.5891335229538506,0.051379756002041255,0.051379756002041255,0.9505294191268171,1.0
spapros_0_eye_40,0.6658999108408103,0.5467112454104341,0.04417338925363039,0.04417338925363039,0.942697686867343,1.0
spapros_0_eye_41,0.6860405413937328,0.5508247563763331,0.045320534716555914,0.045320534716555914,0.9345966777736103,1.0
spapros_0_eye_42,0.7024467961703184,0.5689466856565315,0.05045431389080128,0.05045431389080128,0.9446944435347433,1.0
spapros_0_eye_43,0.6900730632535979,0.5701138134357089,0.04795719894843701,0.04795719894843701,0.9451844271262991,1.0
spapros_0_eye_44,0.6370561889825135,0.5444222813245128,0.04262646574767174,0.04262646574767174,0.9464904313592357,1.0
spapros_0_eye_45,0.6833853818158564,0.5455542577518019,0.043102281170501,0.043102281170501,0.9378961539276656,1.0
spapros_0_eye_46,0.6639095320910908,0.5513253824433331,0.0460433051768193,0.0460433051768193,0.9402269328917049,1.0
spapros_0_eye_47,0.7019204180312245,0.5783280210973116,0.049963167066056566,0.049963167066056566,0.9452256456384236,1.0
spapros_0_eye_48,0.6950456705944017,0.5603887270517977,0.045962895428783006,0.045962895428783006,0.9324093287109402,1.0
spapros_0_eye_49,0.6757732897851348,0.5441909433760765,0.041515081679157934,0.041515081679157934,0.9407180636679097,1.0
spapros_0_eye_50,0.6834545475171571,0.5604830883917646,0.04885413895880763,0.04885413895880763,0.9453154353932474,1.0
spapros_0_eye_51,0.6632166975338185,0.5540809776445517,0.046701506169258944,0.046701506169258944,0.9373049923588445,1.0
spapros_0_eye_52,0.6818641395343183,0.5554756330409013,0.044342052067684413,0.044342052067684413,0.9322969788201603,1.0
spapros_0_eye_53,0.6921109982997515,0.5517262342547448,0.0456229469979827,0.0456229469979827,0.9376966699720811,1.0
spapros_0_eye_54,0.6518878617576879,0.5439419411685629,0.04566267134886416,0.04566267134886416,0.9453498670895613,1.0
spapros_0_eye_55,0.6874631846192325,0.569077601379577,0.048482323784419995,0.048482323784419995,0.9407099404901776,1.0
