,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_bone_marrow_41,0.699833146321733,0.6696618849651841,0.7713820689473119,0.5543678004361394
spapros_0_bone_marrow_42,0.6958396207056831,0.6686429422481286,0.794146588059593,0.6375775871654317
spapros_0_bone_marrow_43,0.6964922164489806,0.6714686227325869,0.7856622469257507,0.5942681719152305
spapros_0_bone_marrow_44,0.669878028820315,0.598642123520324,0.7628051296601042,0.4775833940085703
spapros_0_bone_marrow_45,0.5827101060918121,0.48451146131354134,0.5979734549453299,0.23529411764705882
spapros_0_bone_marrow_46,0.6736793327716871,0.6037662746614343,0.72618015273006,0.41642080980999197
spapros_0_bone_marrow_47,0.6514611396960777,0.5554223912335466,0.6848497566454579,0.407998352142215
spapros_0_bone_marrow_48,0.6886472226918866,0.6154389930334666,0.7623556862554459,0.5067538189364813
spapros_0_bone_marrow_49,0.6715997281908291,0.6055330020931604,0.768703555030334,0.6009082720112131
spapros_0_bone_marrow_50,0.6340582663623924,0.5193299919832143,0.6807107430588027,0.40443262513850736
spapros_0_bone_marrow_51,0.6730788860536281,0.6189458095654223,0.7808851724383202,0.5546064588922619
spapros_0_bone_marrow_52,0.7019103785149052,0.6659523782946482,0.8055045364330147,0.6249429872959285
spapros_0_bone_marrow_53,0.6772535462668281,0.6254959524593645,0.7891243942555263,0.6507912849842751
spapros_0_bone_marrow_54,0.7068015422931864,0.6724972903729923,0.8070027899721943,0.6580568912056799
spapros_0_bone_marrow_55,0.666165604470398,0.6011626862135075,0.7633442603093444,0.5162414845503082
spapros_0_bone_marrow_56,0.6730763797546624,0.609663812115525,0.7705643619124809,0.6166993868940236
spapros_0_bone_marrow_57,0.6784117897885035,0.6096511121303401,0.7807136521777929,0.5902182987527184
spapros_0_bone_marrow_58,0.6802231987044526,0.6069056943886749,0.7872652382906302,0.6285980066646157
spapros_0_bone_marrow_59,0.652448402972033,0.5885949573246579,0.7678805389539264,0.5764075455544675
spapros_0_bone_marrow_60,0.6995570662112255,0.645982749232032,0.769197726823446,0.5207314558439124
spapros_0_bone_marrow_61,0.6823683093945265,0.6589243802163647,0.7706267512956897,0.5859347838698429
spapros_0_bone_marrow_62,0.6631764528885595,0.610909253785667,0.7838523394870163,0.6557703704946919
spapros_0_bone_marrow_63,0.6841439698814871,0.6138733890924387,0.7889525970237771,0.6255006513094745
spapros_0_bone_marrow_64,0.6551148673097906,0.6090744164601253,0.7895600368641391,0.6032979049977318
spapros_0_bone_marrow_65,0.683808421964274,0.6143921804311671,0.7683958845949908,0.5819929471400058
spapros_0_bone_marrow_66,0.6586777472097093,0.6003317825511767,0.7807217339344042,0.5902826204869546
spapros_0_bone_marrow_67,0.6925218843912622,0.6474685801540718,0.7463553114118945,0.467405149316914
spapros_0_bone_marrow_68,0.6873433815201087,0.6253396505218201,0.7558217781688125,0.4893962616044658
spapros_0_bone_marrow_69,0.6574393625292083,0.6057725982113886,0.7788072530015416,0.5554875047569908
spapros_0_bone_marrow_70,0.6616247982418985,0.6033680927931735,0.7642506057289167,0.5648983843527186
spapros_0_bone_marrow_71,0.6645717368638621,0.6148331305622527,0.774641123724029,0.6150427540363341
spapros_0_bone_marrow_72,0.7176169973354867,0.6607547921429758,0.750930510537598,0.4977155660243894
spapros_0_bone_marrow_73,0.6586353720920175,0.5973739852182922,0.7700190710312447,0.5902609892282992
spapros_0_bone_marrow_74,0.6878362924426177,0.6641396516401332,0.7881501829737478,0.5594659063863214
spapros_0_bone_marrow_75,0.6312890497937018,0.6087181487927438,0.7886369109650343,0.5870968943590048
spapros_0_bone_marrow_76,0.6745395971120334,0.6525205454100241,0.775688358046904,0.6138808197084934
spapros_0_bone_marrow_77,0.668516317501986,0.6096880903314064,0.7535845606557511,0.5084282205582513
spapros_0_bone_marrow_78,0.649682866930505,0.5955722075815546,0.7647806119604885,0.5351252010954703
spapros_0_bone_marrow_79,0.6862580006954754,0.6150777187060215,0.7842012948052158,0.6042446512861737
spapros_0_bone_marrow_80,0.6893998195439863,0.6562263744977983,0.7705300241921931,0.5845096387656942
spapros_0_bone_marrow_81,0.6569546942268245,0.5983138083389477,0.7684545392613925,0.6116429326607343
spapros_0_bone_marrow_82,0.681262499406653,0.5995817576107262,0.7673394960693918,0.6096730367822286
spapros_0_bone_marrow_83,0.6457846560922935,0.5956023243654993,0.780452771170806,0.6164978016664864
