,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_bone_marrow_41,0.6747241048946172,0.6454597576436277,0.8391251140903547,0.6956041344276637
spapros_0_bone_marrow_42,0.6703998848483241,0.627058365681658,0.8407952581890824,0.7497528472761267
spapros_0_bone_marrow_43,0.7086260491378935,0.6615247513602012,0.836974253696334,0.6991646454629878
spapros_0_bone_marrow_44,0.673819028048586,0.6136070123743188,0.8481240234565519,0.7353316705802894
spapros_0_bone_marrow_45,0.7221118508572675,0.6340412622001063,0.8454956488700612,0.7166381766381764
spapros_0_bone_marrow_46,0.6965054193520107,0.6437300106258272,0.8497147778358859,0.7515514115514114
spapros_0_bone_marrow_47,0.7444376065473701,0.7158911008881514,0.8718182985439689,0.8272843483537854
spapros_0_bone_marrow_48,0.727818083561135,0.6689355152591341,0.8777980045566258,0.8701104592181981
spapros_0_bone_marrow_49,0.716945140161687,0.6482763457400889,0.8732209492072739,0.8094526480318246
spapros_0_bone_marrow_50,0.7391081039904109,0.6519064376573913,0.8776593516673838,0.8398852089326461
spapros_0_bone_marrow_51,0.6742970706196537,0.6158649982580803,0.8463325643617102,0.710314134402532
spapros_0_bone_marrow_52,0.7076734728681308,0.6337708150844437,0.8672901634975063,0.7628466271136806
spapros_0_bone_marrow_53,0.6735026597771392,0.6151014525770991,0.8429345674025204,0.7579120286302605
spapros_0_bone_marrow_54,0.6962545106089083,0.6305764770987852,0.8479490980668856,0.7496517425929189
spapros_0_bone_marrow_55,0.7122665999616987,0.6453664289930735,0.8523895207763703,0.7215892026941748
spapros_0_bone_marrow_56,0.7090263882918909,0.6392889373569822,0.8635591885639256,0.7699124624233478
spapros_0_bone_marrow_57,0.6796562246470886,0.6241229198810012,0.8543010155399691,0.7527903485914536
spapros_0_bone_marrow_58,0.7164982598105554,0.6450064480164859,0.8583091529365442,0.7374312611881672
spapros_0_bone_marrow_59,0.66623510087302,0.6148162176267833,0.8418545292536812,0.7095654963123276
spapros_0_bone_marrow_60,0.7209493768761526,0.6894742772705598,0.8766855776615867,0.8430421263100202
spapros_0_bone_marrow_61,0.7314611658663283,0.6820024750028529,0.8583306463968998,0.7643865245138102
spapros_0_bone_marrow_62,0.694080349324051,0.629881606867706,0.8613622997357043,0.7795335739893067
spapros_0_bone_marrow_63,0.7148325693475436,0.6635482981366778,0.8558132258543428,0.752048692048692
spapros_0_bone_marrow_64,0.7065461145489604,0.6428696896746462,0.8534171209680534,0.7420202020202018
spapros_0_bone_marrow_65,0.7230536975059458,0.6728117719611973,0.877734105233019,0.8745069889214723
spapros_0_bone_marrow_66,0.707343937169302,0.6227091953790141,0.8656775169558555,0.7850271762318205
spapros_0_bone_marrow_67,0.7188011632784614,0.6800960675416923,0.8412608952422217,0.6777544126950767
spapros_0_bone_marrow_68,0.7465756893771444,0.714489797964468,0.8584682131788625,0.7525547242575107
spapros_0_bone_marrow_69,0.699447001542678,0.6629215266055856,0.8726477529752283,0.8088739887074621
spapros_0_bone_marrow_70,0.7383451690338956,0.6701229561179892,0.8617692860473467,0.7521678697585809
spapros_0_bone_marrow_71,0.7063920982594374,0.6458928293712185,0.8621146536352444,0.8026651026427347
spapros_0_bone_marrow_72,0.7436069108903693,0.6853725601478252,0.8508781372610812,0.7420992854374565
spapros_0_bone_marrow_73,0.7201411002317996,0.6414213365054673,0.859526873526086,0.7603669659353718
spapros_0_bone_marrow_74,0.6981296305385508,0.660368225838764,0.8497200602339418,0.728408203587745
spapros_0_bone_marrow_75,0.7048914395059946,0.6491060287674365,0.8575094928478781,0.7616317016317016
spapros_0_bone_marrow_76,0.6987728153097473,0.6428305982900554,0.846986255308779,0.7108643629016407
spapros_0_bone_marrow_77,0.712811905178311,0.6382399186729397,0.8572485061379216,0.7654754609471589
spapros_0_bone_marrow_78,0.7257724273314543,0.6524424123374157,0.8622749089412308,0.7690115581791498
spapros_0_bone_marrow_79,0.740150416889908,0.6774908054255652,0.8713620423537176,0.7791950641526687
spapros_0_bone_marrow_80,0.7165844025910724,0.6631518412923277,0.8676434112608118,0.7799427793622276
spapros_0_bone_marrow_81,0.7234729543857006,0.6594003018946448,0.8615360526663736,0.761394165690247
spapros_0_bone_marrow_82,0.7237296553295463,0.6421098094411095,0.8572335227799518,0.7436052836052836
spapros_0_bone_marrow_83,0.7119932707346968,0.6468890902943188,0.8623401697775518,0.7661685155802801
