,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_bone_marrow_41,0.7596654137313748,0.28521707966829907,0.38088789545094315,0.3963274515791427
spapros_0_bone_marrow_42,0.6452883856628738,0.027569686411149905,0.2565119107117664,0.29822535411469664
spapros_0_bone_marrow_43,0.76992925493591,0.37499326875281996,0.3795189715773307,0.37742813485099463
spapros_0_bone_marrow_44,0.6790136042580808,0.07223907405845588,0.28554483240581563,0.3257636153547835
spapros_0_bone_marrow_45,0.8454844973850119,0.7558974358974357,0.513327189598108,0.5176169493390622
spapros_0_bone_marrow_46,0.7621815039840488,0.3347025508801725,0.3944502423661169,0.4067916713338217
spapros_0_bone_marrow_47,0.8087114951336415,0.4670392511440651,0.42691769640485766,0.4469749297365402
spapros_0_bone_marrow_48,0.7926990525255405,0.45403930803854575,0.43250293116337346,0.4302500621855641
spapros_0_bone_marrow_49,0.7819792780793563,0.4122146687324177,0.4069183231548879,0.43234567313795547
spapros_0_bone_marrow_50,0.8253433161033766,0.6386167341430499,0.506919650151543,0.5089624217994028
spapros_0_bone_marrow_51,0.6311236298341472,0.03395182758906501,0.251548737057693,0.2896301791492545
spapros_0_bone_marrow_52,0.8236565855475471,0.5854842929941202,0.4003180239052194,0.4073694763279029
spapros_0_bone_marrow_53,0.7019926654301669,0.14611404201023775,0.3665090249968176,0.3572883757843038
spapros_0_bone_marrow_54,0.7406312628087284,0.2319757681343044,0.37682462155787866,0.36817007891909037
spapros_0_bone_marrow_55,0.8193063626927715,0.5859479121370265,0.44309825172144757,0.44851192460495
spapros_0_bone_marrow_56,0.800487700867186,0.4861583775327617,0.4362994792055592,0.44229625760521707
spapros_0_bone_marrow_57,0.7313056035789618,0.254697815062976,0.34554231058091145,0.3773798548544165
spapros_0_bone_marrow_58,0.8180474994274587,0.5534719646071883,0.4826336790357147,0.4748526342848923
spapros_0_bone_marrow_59,0.7684130377838849,0.2371963069516885,0.38764322012725994,0.404066884173586
spapros_0_bone_marrow_60,0.7689829916194415,0.3432138471970875,0.36746100174905094,0.38812090290537965
spapros_0_bone_marrow_61,0.6623390513558403,0.11406343405941978,0.3217237986264221,0.355472277696824
spapros_0_bone_marrow_62,0.6532137334322439,0.06847477699548501,0.2936202043771385,0.3411549863929781
spapros_0_bone_marrow_63,0.7911173767039786,0.44380282850500874,0.43792658971534604,0.4333348977781178
spapros_0_bone_marrow_64,0.7940008342953231,0.4990745727644226,0.4449594625150154,0.42971588685980155
spapros_0_bone_marrow_65,0.7767928435307034,0.4387126455155337,0.4639303326181569,0.45500330625090246
spapros_0_bone_marrow_66,0.6881933725205034,0.22675211800830103,0.30664069610520345,0.3492328977479156
spapros_0_bone_marrow_67,0.8035264915925652,0.45063168065614834,0.42760443586615604,0.4349804213499242
spapros_0_bone_marrow_68,0.7725381936630136,0.45519945915709614,0.4128806618189507,0.4282272906301854
spapros_0_bone_marrow_69,0.7820922415138742,0.4109731288294339,0.41469639640487255,0.41435777770524557
spapros_0_bone_marrow_70,0.8159404435794517,0.5912933007295111,0.4221026333823775,0.43926204928636975
spapros_0_bone_marrow_71,0.7684015005982965,0.2477988134296336,0.38703514593881383,0.38533571036929415
spapros_0_bone_marrow_72,0.8108078676192787,0.5204871381797225,0.429353278271232,0.43479444699409664
spapros_0_bone_marrow_73,0.7979168610217263,0.46432932790184045,0.4252491655120656,0.4130002627389716
spapros_0_bone_marrow_74,0.7659814167679624,0.28308543874265696,0.4208468254334927,0.4056779752471934
spapros_0_bone_marrow_75,0.7990835504624094,0.5106740665570351,0.4222166636886987,0.44122382453555753
spapros_0_bone_marrow_76,0.7470031413319359,0.3534925898240133,0.377154583707709,0.3952682351286822
spapros_0_bone_marrow_77,0.8044705247804282,0.4717429326362396,0.40135242561964446,0.41028043380020557
spapros_0_bone_marrow_78,0.7850878812201082,0.4133602561724515,0.38787160527300785,0.406868624705211
spapros_0_bone_marrow_79,0.8081300394797961,0.5194574171676029,0.4268855375002878,0.4478404633483926
spapros_0_bone_marrow_80,0.8018378083982329,0.47968734735946117,0.4158471955006703,0.4207866287817696
spapros_0_bone_marrow_81,0.8066901752692478,0.5467280204508771,0.41375743655534114,0.4259640469137825
spapros_0_bone_marrow_82,0.7936587054085038,0.4052149638211123,0.4255397258488643,0.4143241874088073
spapros_0_bone_marrow_83,0.7710954430731822,0.3806266120973665,0.3897692911078848,0.4011824586602404
