,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_liver_0,0.5623576032923739,0.12674650698603063,0.20651796818512488,0.18260689510196304
spapros_0_liver_1,0.5062341347763887,0.0,0.11114224510071917,0.13514773986128734
spapros_0_liver_2,0.605509528910501,0.1953935883616085,0.18887782783449292,0.17869388258225388
spapros_0_liver_3,0.9278417083814064,1.0,0.5311463817973918,0.36737402324681867
spapros_0_liver_4,0.6795445968566532,0.2369954062589722,0.18695346063474355,0.18211723827046084
spapros_0_liver_5,0.6887498648660829,0.3769524891959122,0.21926541326460852,0.2013853592138874
spapros_0_liver_6,0.514167927999644,0.0,0.14814533067023922,0.14944253096519627
spapros_0_liver_7,0.8939855214057184,0.8631696164949679,0.36587193490321657,0.2812239206299247
spapros_0_liver_8,0.5341172191939578,0.04870259481038192,0.15686755915421777,0.16361743381571142
spapros_0_liver_9,0.5229769366127238,0.0649700598802425,0.09262569162734724,0.1248502773487385
spapros_0_liver_10,0.5947572104161036,0.22927792133218472,0.21930679287552565,0.19784933504141955
spapros_0_liver_11,0.9314258590541522,1.0,0.5103636362933575,0.34084778679272604
spapros_0_liver_12,0.5912891879773713,0.11701596806387482,0.22866721444387061,0.18952138983954928
spapros_0_liver_13,0.5923646077189827,0.15489021956088114,0.18884972219426766,0.18850411638528927
spapros_0_liver_14,0.6541529746607013,0.26206718346253205,0.19833338922518712,0.18046429790319762
spapros_0_liver_15,0.8991142434811609,0.9395424836601305,0.26549854570828,0.23325691658675796
spapros_0_liver_16,0.8504962702308964,0.7888529139685474,0.2742433497825755,0.230581452272577
spapros_0_liver_17,0.6743881833607986,0.16666666666666666,0.1537229290099968,0.15956110883235328
spapros_0_liver_18,0.6654398657814097,0.25976430976430964,0.1826373575013564,0.18387594189934459
spapros_0_liver_19,0.5312306532857467,0.07405189620758787,0.19035501080196265,0.16844193966047047
spapros_0_liver_20,0.6385191981655257,0.1337824351297433,0.11761247870723995,0.14551542481343827
spapros_0_liver_21,0.8668766343104101,0.9225061068198323,0.25957586622956386,0.2244603164843495
spapros_0_liver_22,0.6232527108984832,0.13368263473054168,0.16963470315574664,0.17034492313558264
spapros_0_liver_23,0.5796789303143265,0.15813373253493268,0.0927726941227294,0.12822006648606593
spapros_0_liver_24,0.8004388719411554,0.6092969472710452,0.21475894846372992,0.2059899832101713
spapros_0_liver_25,0.5741256642339267,0.0643712574850326,0.12720550985644866,0.14326827259056862
spapros_0_liver_26,0.8733667663628074,0.9121903587213485,0.2524318739441883,0.22654535993297445
spapros_0_liver_27,0.801048930301783,0.5244581491760029,0.1664693641756783,0.18352042087952877
spapros_0_liver_28,0.8336014894079428,0.7372028019946609,0.18935095173832953,0.18642628198604547
spapros_0_liver_29,0.7008186954276256,0.18996267585414897,0.10760040611121797,0.1467003698175277
spapros_0_liver_30,0.8643617516940951,0.8622023503614621,0.23797530686982094,0.22497853978676874
spapros_0_liver_31,0.8214425413753088,0.554999807926111,0.1963882783883709,0.19688228668813273
spapros_0_liver_32,0.899631805668336,0.9824618736383438,0.30620456575592614,0.2625294575101735
spapros_0_liver_33,0.8349363068868327,0.7342832684954175,0.21929488783160797,0.20437096923464776
