,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_eye_0,0.8826638176402835,0.8181818181818182,0.706263080072381,0.638361729431675
spapros_0_eye_1,0.896670847920662,0.8181818181818182,0.7023679938376108,0.6788739041314696
spapros_0_eye_2,0.8846786221232882,0.8181818181818182,0.7030339375685464,0.6606257300176605
spapros_0_eye_3,0.8998892145771332,0.8516339869281047,0.6643845629463812,0.6426222684708093
spapros_0_eye_4,0.8935072120399287,0.8353482186358062,0.557674747391341,0.5252246378166203
spapros_0_eye_5,0.6340738659373542,0.01637681397154527,0.22930407243943232,0.3364869007567352
spapros_0_eye_6,0.8814456467158865,0.8181818181818182,0.7012732996579968,0.6984237047754792
spapros_0_eye_7,0.9208606304068297,0.868389780154486,0.7392567619826274,0.7051691202319809
spapros_0_eye_8,0.8995063487106563,0.8181818181818182,0.675013336564793,0.6226621958118373
spapros_0_eye_9,0.9284290916351843,0.8437908496732027,0.775911371847796,0.7371347457359285
spapros_0_eye_10,0.925641865730482,0.852719005915937,0.71563883592624,0.6644817561583023
spapros_0_eye_11,0.9183205733192149,0.8804631997726624,0.7206967627448888,0.6597432782357059
spapros_0_eye_12,0.8338174082934736,0.7457489746690953,0.5469855302504412,0.5091898807478303
spapros_0_eye_13,0.8390507441424873,0.7721956060468093,0.5597574649150362,0.513239218028001
spapros_0_eye_14,0.8805754032344926,0.8181818181818182,0.616152187842717,0.5767355091989933
spapros_0_eye_15,0.9081988949034767,0.8181818181818182,0.7465609355670686,0.6935129362377601
spapros_0_eye_16,0.9146681178872047,0.8370172311348782,0.7448318396748086,0.7019079346947299
spapros_0_eye_17,0.9106861104504975,0.8698881397091114,0.6837511357899282,0.6331696699122432
spapros_0_eye_18,0.9173593867204889,0.8811310031258883,0.7195368123712684,0.6550236678795776
spapros_0_eye_19,0.9273110858424786,0.875736908729236,0.7378141593447132,0.7056697447426474
spapros_0_eye_20,0.9134226987695716,0.8453357100415922,0.7558812555279926,0.6841113015512296
spapros_0_eye_21,0.9243586098435291,0.8639928698752228,0.7494916116545276,0.6989164380555524
spapros_0_eye_22,0.9061946370625865,0.8181818181818182,0.7657591835707597,0.6777906507802716
spapros_0_eye_23,0.9151161596522925,0.8619726678550208,0.7002762573401335,0.6624285382404574
spapros_0_eye_24,0.9098884677764218,0.8181818181818182,0.7727761638322033,0.6813011424375287
spapros_0_eye_25,0.9181708444373886,0.8385620915032681,0.8049867248090545,0.7087708664013063
spapros_0_eye_26,0.9080956057279668,0.8207367795603088,0.72437559635661,0.67010441907902
spapros_0_eye_27,0.9113616804857297,0.8320261437908498,0.7213634200281234,0.6340754001248395
spapros_0_eye_28,0.9256946874239894,0.864890593918727,0.7340113380382172,0.6676338729331948
spapros_0_eye_29,0.9197785912273936,0.870291146761735,0.7492131669027833,0.6927475220166895
spapros_0_eye_30,0.9292379325894999,0.8576945929887105,0.7557364515115725,0.6894321475169645
spapros_0_eye_31,0.9264155455389962,0.8669895889844739,0.7449426767914334,0.6938303029364242
spapros_0_eye_32,0.9130524324867729,0.8424836601307191,0.7432433572199018,0.6919259161739182
spapros_0_eye_33,0.92615862014752,0.8820054767625102,0.7387115452602862,0.6544227253924342
spapros_0_eye_34,0.908096424227823,0.8663695781342841,0.693368861659512,0.6448303606920657
spapros_0_eye_35,0.9241045316736313,0.8739750445632798,0.7296926793003469,0.6816259623802216
spapros_0_eye_36,0.9308903612104845,0.9218205068588702,0.7596391461567952,0.6891599162608423
spapros_0_eye_37,0.9283358613447995,0.9061290655919813,0.7618941645771715,0.7106754161490864
spapros_0_eye_38,0.9195027182471889,0.8351158645276292,0.7363032124222715,0.6784661988752573
spapros_0_eye_39,0.9293610934769084,0.8645870469399881,0.7507467352453017,0.7199600253679387
spapros_0_eye_40,0.9151357162872933,0.8378490790255497,0.7157081114336427,0.6585940784334511
spapros_0_eye_41,0.9229132932900629,0.8667260843731431,0.7354231211238156,0.672922683788738
spapros_0_eye_42,0.9273150473031735,0.8720736779560309,0.7516331309898829,0.7065703534320853
spapros_0_eye_43,0.9223176295703209,0.8578134284016635,0.7468585615058556,0.6703797562276368
spapros_0_eye_44,0.9220925797617859,0.8673202614379085,0.722164296668327,0.6430744614165962
spapros_0_eye_45,0.9012210452832286,0.8181818181818182,0.7379462663553427,0.6473329822105811
spapros_0_eye_46,0.917694914768931,0.8729184427394145,0.7287876906486885,0.6713104452841737
spapros_0_eye_47,0.9353268660442954,0.9245059288537548,0.744105146106525,0.708112363066561
spapros_0_eye_48,0.9189237262113855,0.870409982174688,0.7376411190247629,0.6570611073692303
spapros_0_eye_49,0.9221059412342766,0.8538918597742128,0.7147435368368211,0.6508451806330703
spapros_0_eye_50,0.9285751297213017,0.8893048128342245,0.7470636709488367,0.6903212311103687
spapros_0_eye_51,0.9239062698590117,0.8722415975612905,0.7356686310804377,0.6770839546044607
spapros_0_eye_52,0.9193723982753972,0.8819370172311348,0.7341626372669643,0.6507256857212622
spapros_0_eye_53,0.9254301210298678,0.9011715621690047,0.7387024387767797,0.6605760912932598
spapros_0_eye_54,0.9311471836160792,0.8855498721227619,0.737840816253521,0.6789027560139023
spapros_0_eye_55,0.9233196054522114,0.8638740344622697,0.7477753696066816,0.6989024866780273
