,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_eye_0,0.05228163250848143,0.05228163250848143,0.9079912408768482,0.8833333333333333,0.6513459115998355,0.48357097225747464
spapros_0_eye_1,0.0532958688629553,0.0532958688629553,0.9232228718990367,0.9444444444444443,0.659647940595223,0.4903734061186687
spapros_0_eye_2,0.051535806651234486,0.051535806651234486,0.9139609137411235,0.8898989898989897,0.6145714694436157,0.4668386609221358
spapros_0_eye_3,0.05730827001490825,0.05730827001490825,0.9213564550703401,0.9244949494949494,0.5991611843912905,0.47559051778515327
spapros_0_eye_4,0.056329550318560476,0.056329550318560476,0.9215651329871373,0.8775252525252524,0.6644843158663737,0.4942837295392014
spapros_0_eye_5,0.022020827665198067,0.022020827665198067,0.6588749927228477,0.1842687313410296,0.30752529488403135,0.2992571765508324
spapros_0_eye_6,0.04481228144681063,0.04481228144681063,0.8974202625968895,0.8875,0.5371608411137136,0.4285374012632099
spapros_0_eye_7,0.05474275112117025,0.05474275112117025,0.9419346670881114,0.9874999999999998,0.6180330368990312,0.4662428960761013
spapros_0_eye_8,0.05500152334667263,0.05500152334667263,0.9276861420333444,0.9368686868686864,0.6674447730901176,0.5041988972265411
spapros_0_eye_9,0.055509201828860134,0.055509201828860134,0.9505592497422659,1.0,0.6561009917085048,0.4914376275797439
spapros_0_eye_10,0.05784471589108423,0.05784471589108423,0.9348681424961154,0.9556818181818181,0.6424951814641287,0.4753453857637154
spapros_0_eye_11,0.05300566775391628,0.05300566775391628,0.9201300402499318,0.9136363636363634,0.6487231486447116,0.4762691697673384
spapros_0_eye_12,0.038189439420614715,0.038189439420614715,0.8574331832893489,0.75,0.548361811590951,0.43232741820975107
spapros_0_eye_13,0.028260607643365847,0.028260607643365847,0.8081053826880908,0.598816789507872,0.44327374572002365,0.3579816707204748
spapros_0_eye_14,0.040723321310301534,0.040723321310301534,0.8990392120264115,0.8306818181818181,0.5389986102394884,0.4379114014116614
spapros_0_eye_15,0.05263695698559126,0.05263695698559126,0.9397036886101628,0.9965909090909089,0.6427226689843262,0.48559982027842014
spapros_0_eye_16,0.04935180969536184,0.04935180969536184,0.933307934942637,0.9784090909090908,0.6084167223544901,0.47425287511622
spapros_0_eye_17,0.05502859754568502,0.05502859754568502,0.9300758555259424,1.0,0.6064520103097883,0.46286048133861063
spapros_0_eye_18,0.056899617058205516,0.056899617058205516,0.9288507176491267,0.9784090909090908,0.6383473693395899,0.4816601618293073
spapros_0_eye_19,0.05452097743512459,0.05452097743512459,0.9352468267853107,0.9920454545454545,0.6151727459994119,0.47299698929784756
spapros_0_eye_20,0.046540787885343694,0.046540787885343694,0.9178526066038795,0.9465909090909088,0.5415035179509883,0.42630883034102124
spapros_0_eye_21,0.052439517792223556,0.052439517792223556,0.9431507918381903,1.0,0.6354135577338262,0.4777943940918252
spapros_0_eye_22,0.05371678377067917,0.05371678377067917,0.9352384746281952,1.0,0.6541188694110283,0.500333600390803
spapros_0_eye_23,0.058633814581161015,0.058633814581161015,0.9372081805267223,0.9693181818181815,0.6719010390931397,0.512535764647928
spapros_0_eye_24,0.05256646688954677,0.05256646688954677,0.9259652055445007,0.9511363636363634,0.5935441420239871,0.4721165959235038
spapros_0_eye_25,0.05651670452674293,0.05651670452674293,0.9338269653472211,0.9829545454545453,0.6338261969307156,0.48607396552237414
spapros_0_eye_26,0.05394456797360935,0.05394456797360935,0.9286771674240957,0.9510101010101008,0.6439516035685151,0.4738820893341626
spapros_0_eye_27,0.04970773579414907,0.04970773579414907,0.9226971475511083,0.9505050505050504,0.612727494323207,0.4538280229793531
spapros_0_eye_28,0.05303370732295029,0.05303370732295029,0.9344875643910018,0.9958333333333332,0.653312767653,0.4860693490643335
spapros_0_eye_29,0.05711446735002981,0.05711446735002981,0.938790544086127,1.0,0.6538333280486701,0.4974157866130365
spapros_0_eye_30,0.0561057918181421,0.0561057918181421,0.9425028549402777,1.0,0.6598247528068647,0.49585991534481116
spapros_0_eye_31,0.05867201466295867,0.05867201466295867,0.948009324740833,1.0,0.6732460287395474,0.5093428094505386
spapros_0_eye_32,0.0510228784529085,0.0510228784529085,0.9326652914060616,0.9965909090909089,0.6334134388862018,0.47089100014817376
spapros_0_eye_33,0.04865908760484927,0.04865908760484927,0.9437409587911729,1.0,0.6160327470690314,0.4680209337275908
spapros_0_eye_34,0.05447440400908421,0.05447440400908421,0.9156584232142354,0.887121212121212,0.6608807349200619,0.4873709999991636
spapros_0_eye_35,0.05695632467606122,0.05695632467606122,0.9371727462733511,0.9847222222222223,0.6324372644136382,0.4749051922990919
spapros_0_eye_36,0.05586961015835442,0.05586961015835442,0.9383439552542527,0.9784090909090908,0.6306464940556671,0.4820263328489257
spapros_0_eye_37,0.055874737431351004,0.055874737431351004,0.9338994424357361,0.9920454545454542,0.6747113436543329,0.503641600230178
spapros_0_eye_38,0.05760732376609464,0.05760732376609464,0.9410146740696875,1.0,0.6406490724349418,0.47447529903531527
spapros_0_eye_39,0.05586184001743333,0.05586184001743333,0.9365000095937478,0.9875000000000002,0.6568643339304302,0.49236612055268597
spapros_0_eye_40,0.05758956667548876,0.05758956667548876,0.9346552849429599,0.9924242424242421,0.6878750160692777,0.5065051369219334
spapros_0_eye_41,0.05503233183769685,0.05503233183769685,0.9375918027464643,0.9920454545454545,0.6803696308834687,0.49138373164157245
spapros_0_eye_42,0.0546669572943425,0.0546669572943425,0.9429764673302499,0.9874999999999997,0.6226390720032711,0.4785271739473151
spapros_0_eye_43,0.05454746197923997,0.05454746197923997,0.9360349900994923,0.9920454545454545,0.6548869367436326,0.4770538827513306
spapros_0_eye_44,0.050307604532045004,0.050307604532045004,0.9473290610702445,1.0,0.6166295114572089,0.47432545518581326
spapros_0_eye_45,0.055397494560085796,0.055397494560085796,0.9406059088619093,1.0,0.6513750796594754,0.47827237610511053
spapros_0_eye_46,0.05436632079469897,0.05436632079469897,0.9278476830776385,0.9693181818181815,0.6310148987783442,0.47660915174558693
spapros_0_eye_47,0.05313560066795682,0.05313560066795682,0.9416303789400307,1.0,0.6469548773065417,0.49197815740327544
spapros_0_eye_48,0.05012195115508224,0.05012195115508224,0.9471532639330211,1.0,0.6136843292330851,0.45750028886225136
spapros_0_eye_49,0.051249633572410226,0.051249633572410226,0.9433894317719204,1.0,0.6317287895152354,0.4664299311842073
spapros_0_eye_50,0.053654977289739364,0.053654977289739364,0.9475316543593395,1.0,0.630434137065354,0.48207092552537867
spapros_0_eye_51,0.05330275337260085,0.05330275337260085,0.9258407335547884,0.9159090909090908,0.6235825574478885,0.47972262236853175
spapros_0_eye_52,0.05524143255410227,0.05524143255410227,0.9460016036804996,1.0,0.6371854808530255,0.475677722560223
spapros_0_eye_53,0.053396805671274396,0.053396805671274396,0.9429811493183445,1.0,0.6348599306908977,0.47324697235195723
spapros_0_eye_54,0.050442926913926184,0.050442926913926184,0.9488357943138281,1.0,0.6257951576913119,0.4639356561806133
spapros_0_eye_55,0.053742787703826754,0.053742787703826754,0.9404226283917054,0.9902777777777778,0.6396706250490412,0.48977184986640515
