,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full,forest_clfs accuracy,forest_clfs perct acc > 0.8
spapros_0_eye_0,0.8359125049676228,0.6282123495095234,0.026210132528110164,0.026210132528110164,0.9726781544554306,1.0
spapros_0_eye_1,0.8546006950028135,0.658611482977709,0.02862921431033769,0.02862921431033769,0.9806889664878291,1.0
spapros_0_eye_2,0.8354765824953811,0.6349856116752322,0.026147191424072184,0.026147191424072184,0.9745157846654713,1.0
spapros_0_eye_3,0.7682839423816362,0.5923665840549623,0.023863749617393844,0.023863749617393844,0.9616235467921475,0.9999295865081889
spapros_0_eye_4,0.7843740534043224,0.575195377422985,0.02152651037920417,0.02152651037920417,0.9575010151418739,1.0
spapros_0_eye_5,0.39586241860531113,0.4215140899374812,0.008961903289017416,0.008961903289017416,0.7495935238329454,0.40226959405517415
spapros_0_eye_6,0.7662889886597544,0.580725648194013,0.024258748993918458,0.024258748993918458,0.9601061875588582,1.0
spapros_0_eye_7,0.8217737343526721,0.6157126410558537,0.025880409836063947,0.025880409836063947,0.9739441681567342,1.0
spapros_0_eye_8,0.8032769787877878,0.5878832119314383,0.021099261493646458,0.021099261493646458,0.953527054821821,0.9840497737556562
spapros_0_eye_9,0.8504073047655653,0.6235606184245488,0.02565282738681672,0.02565282738681672,0.9763618985582565,1.0
spapros_0_eye_10,0.8136756362774662,0.5987551264115977,0.024550391533463875,0.024550391533463875,0.9698464781860345,1.0
spapros_0_eye_11,0.8343986031065983,0.6201033532315522,0.024145783325901345,0.024145783325901345,0.9693689690966671,1.0
spapros_0_eye_12,0.6780237976004935,0.5663788313397484,0.01716518158774208,0.01716518158774208,0.9358326162889701,0.9842865460018265
spapros_0_eye_13,0.7299614896987565,0.5329409876357529,0.01454507774917363,0.01454507774917363,0.9216267780720895,0.9004610452195286
spapros_0_eye_14,0.7564762006816004,0.5650296937372323,0.017725291244484503,0.017725291244484503,0.925127737091916,0.9135400749296081
spapros_0_eye_15,0.8340165554564132,0.6275347241167527,0.025994069271523108,0.025994069271523108,0.9691017838400355,1.0
spapros_0_eye_16,0.7719520361096215,0.5984217470541701,0.021344058118051644,0.021344058118051644,0.9673167569807377,1.0
spapros_0_eye_17,0.8103876798064036,0.6000355446796108,0.025234814062664954,0.025234814062664954,0.9721841149323438,1.0
spapros_0_eye_18,0.8210215128777855,0.6100884253302548,0.024717672725881774,0.024717672725881774,0.9721970770094802,1.0
spapros_0_eye_19,0.8198975767751323,0.6214723291878738,0.025208568536746426,0.025208568536746426,0.9708730338924885,1.0
spapros_0_eye_20,0.778853105186232,0.5955996385813404,0.02285706112465147,0.02285706112465147,0.9663457686343223,1.0
spapros_0_eye_21,0.8340570527928126,0.6218853484566337,0.02452253189815233,0.02452253189815233,0.9702066034441217,1.0
spapros_0_eye_22,0.8218072986181327,0.6087594112027954,0.022158991441127433,0.022158991441127433,0.9663314208583126,1.0
spapros_0_eye_23,0.8248115563358868,0.616202724103806,0.026108338821751984,0.026108338821751984,0.977483031233761,1.0
spapros_0_eye_24,0.7768057889395829,0.5921850878354521,0.021801422147520472,0.021801422147520472,0.9685158106017597,1.0
spapros_0_eye_25,0.8134356198032309,0.6137700712198813,0.023713408199468083,0.023713408199468083,0.9732000878772866,1.0
spapros_0_eye_26,0.8253955506390278,0.6189954974685064,0.02419389306041139,0.02419389306041139,0.975242760474335,1.0
spapros_0_eye_27,0.7935968661436101,0.5997209847359376,0.02109576728773644,0.02109576728773644,0.963623401937141,1.0
spapros_0_eye_28,0.8236708526549421,0.6157455216615227,0.023397889467130343,0.023397889467130343,0.9706614283295257,1.0
spapros_0_eye_29,0.8142027941374016,0.6234376586750272,0.025111001507016964,0.025111001507016964,0.9682083805875206,1.0
spapros_0_eye_30,0.8255945838684869,0.6139891027408046,0.024262417849780928,0.024262417849780928,0.9698598735339203,1.0
spapros_0_eye_31,0.833243730880778,0.6105920237268689,0.02523657749271818,0.02523657749271818,0.9766857279116391,1.0
spapros_0_eye_32,0.8155170581711046,0.6261984298334234,0.025061325794680345,0.025061325794680345,0.9735644636705657,1.0
spapros_0_eye_33,0.8136758429483726,0.5890609120801372,0.020954029297400534,0.020954029297400534,0.9720233197726974,1.0
spapros_0_eye_34,0.8224625405066592,0.6166136217737673,0.0250313358437293,0.0250313358437293,0.9710150228450647,1.0
spapros_0_eye_35,0.8321394117624151,0.6215462996185257,0.027198887587036393,0.027198887587036393,0.9758975167639663,1.0
spapros_0_eye_36,0.8119816981482056,0.604643773368018,0.02551358655829876,0.02551358655829876,0.972356655408916,1.0
spapros_0_eye_37,0.8258162594676914,0.6420356548969902,0.026868171924668074,0.026868171924668074,0.9772721692397263,1.0
spapros_0_eye_38,0.8337259192483897,0.6204978549780981,0.024750761864992383,0.024750761864992383,0.9725959579306847,1.0
spapros_0_eye_39,0.8285182741546877,0.6333175029597864,0.02651006586419522,0.02651006586419522,0.9790924686742788,1.0
spapros_0_eye_40,0.8341115800055989,0.6225916086706267,0.025207404207013874,0.025207404207013874,0.976165579801244,1.0
spapros_0_eye_41,0.8331293681789714,0.6294041360753991,0.025797859815634226,0.025797859815634226,0.9747665890440893,1.0
spapros_0_eye_42,0.8176782664075444,0.6119743661186996,0.025976938418997994,0.025976938418997994,0.9705775898892562,1.0
spapros_0_eye_43,0.8358237953437995,0.6092019314181492,0.024669746370127345,0.024669746370127345,0.9756486313571551,1.0
spapros_0_eye_44,0.7735488317316739,0.5643447712571239,0.02091238403470499,0.02091238403470499,0.9684951876624649,1.0
spapros_0_eye_45,0.8169575986273846,0.6003323427045724,0.023783123997575643,0.023783123997575643,0.9724993245493982,1.0
spapros_0_eye_46,0.8165977664352321,0.6098884556614607,0.02425305352375052,0.02425305352375052,0.9747238445994306,1.0
spapros_0_eye_47,0.8010596766440476,0.61924380048337,0.02452982043893311,0.02452982043893311,0.9739543826938347,1.0
spapros_0_eye_48,0.8156185796619172,0.6110242146508501,0.024679257130204753,0.024679257130204753,0.974539156022596,1.0
spapros_0_eye_49,0.8268157591188625,0.6109972381300344,0.024090282142356177,0.024090282142356177,0.9723799657685386,1.0
spapros_0_eye_50,0.8175284818684974,0.6180466366321055,0.025507640465079657,0.025507640465079657,0.9781477603894143,1.0
spapros_0_eye_51,0.8067118308707839,0.6133109158888418,0.024016705316789805,0.024016705316789805,0.9744731915563732,1.0
spapros_0_eye_52,0.8223502517353469,0.614559197183705,0.024491155673363282,0.024491155673363282,0.9705734780429476,1.0
spapros_0_eye_53,0.8082040797711815,0.6125852776141261,0.024496517882555746,0.024496517882555746,0.9745191796003918,1.0
spapros_0_eye_54,0.8088101514398893,0.6071967783578851,0.024505169308710974,0.024505169308710974,0.9754652837167637,1.0
spapros_0_eye_55,0.8111013032805673,0.6183220475071963,0.025377797148792344,0.025377797148792344,0.970498954359491,1.0
