,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_donor_id mean_overlap_AUC batch_mean,knn_overlap_X_donor_id mean_overlap_AUC full
spapros_0_eye_0,0.8988348742044726,0.9215784215784212,0.48945567826450104,0.4335011693924583,0.060150522907071076,0.060150522907071076
spapros_0_eye_1,0.896676480196227,0.869215969215969,0.4530238149544108,0.43006678358970607,0.060708941495443106,0.060708941495443106
spapros_0_eye_2,0.8836395707066687,0.8910955710955708,0.4084855710909766,0.3777277451294031,0.05279715754717983,0.05279715754717983
spapros_0_eye_3,0.8771705938276697,0.8842424242424242,0.4552757330316648,0.40745672239144703,0.0573990784093289,0.0573990784093289
spapros_0_eye_4,0.901299291881001,0.8708513708513708,0.631882434727965,0.5121044503493268,0.0862870859015853,0.0862870859015853
spapros_0_eye_5,0.6916939518159622,0.34743788684700855,0.29277744185499677,0.30347159705114085,0.030554683389880946,0.030554683389880946
spapros_0_eye_6,0.8869100718476242,0.9032412032412029,0.3447417545178963,0.37244624613183086,0.052283676518452955,0.052283676518452955
spapros_0_eye_7,0.9125430863327679,0.9164724164724163,0.501534281880997,0.43524262482975634,0.06447656355080686,0.06447656355080686
spapros_0_eye_8,0.9134700459060769,0.9136234136234135,0.5637902982067063,0.4718115776625238,0.07849565895761204,0.07849565895761204
spapros_0_eye_9,0.907893241868722,0.8888888888888888,0.46666274636026117,0.4195754316545556,0.06419867724469527,0.06419867724469527
spapros_0_eye_10,0.9024323575115792,0.8889961889961889,0.44663775404795714,0.4072940184272996,0.060786126994184765,0.060786126994184765
spapros_0_eye_11,0.9049555937077294,0.8888888888888888,0.4764908937304374,0.417843880229354,0.05791315554495916,0.05791315554495916
spapros_0_eye_12,0.8433312764320983,0.6348518215184882,0.3855830612876203,0.39111155963806093,0.04564765982792974,0.04564765982792974
spapros_0_eye_13,0.8424163140592423,0.6319207435336479,0.3916414534633983,0.39682059389582636,0.04115529841478327,0.04115529841478327
spapros_0_eye_14,0.8791934188369643,0.8657046657046659,0.4220707756089951,0.4134184614022399,0.05073465619191242,0.05073465619191242
spapros_0_eye_15,0.9058873368017155,0.8888888888888888,0.45180041548956673,0.43457967289604954,0.06277425977787293,0.06277425977787293
spapros_0_eye_16,0.914082605851951,0.8924815924815922,0.4604138602215947,0.4154896420118531,0.054951078063361664,0.054951078063361664
spapros_0_eye_17,0.8964193968770537,0.8888888888888888,0.4766706206193855,0.4146226147090723,0.06156152137016128,0.06156152137016128
spapros_0_eye_18,0.8943124782786911,0.897391497391497,0.48005706058030534,0.41173189786355274,0.05806589590752415,0.05806589590752415
spapros_0_eye_19,0.9053987112909029,0.9022422022422022,0.47103562535904775,0.4305677942671437,0.060222824341306026,0.060222824341306026
spapros_0_eye_20,0.9068670817310767,0.9324638324638322,0.4135091843557961,0.376826103634928,0.058102651739961,0.058102651739961
spapros_0_eye_21,0.9071586722735883,0.9250046250046248,0.4818228984924543,0.4229533145853347,0.06273421371064024,0.06273421371064024
spapros_0_eye_22,0.9099775865854473,0.9107004107004104,0.4932897335304886,0.43443254194759257,0.06432886338699999,0.06432886338699999
spapros_0_eye_23,0.9103299997538924,0.8980981980981978,0.5413423306177138,0.4610750275942134,0.07123945598980991,0.07123945598980991
spapros_0_eye_24,0.9104189117509862,0.8888888888888888,0.4002191814550694,0.4190068859688713,0.05828115671464896,0.05828115671464896
spapros_0_eye_25,0.9083776359800504,0.9010730010730007,0.4876387289617889,0.4350120132319816,0.06072341348717446,0.06072341348717446
