,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60
spapros_0_eye_0,0.8452635098670751,0.6862048087048086,0.3366445609306222,0.270419903317793
spapros_0_eye_1,0.8842195275897395,0.8286666666666666,0.35860899355384274,0.2849869339688075
spapros_0_eye_2,0.8439465824798796,0.7666335978080167,0.25453560040632195,0.2290593369231771
spapros_0_eye_3,0.7563681731913403,0.5847478043256833,0.16633639678774378,0.179118195049717
spapros_0_eye_4,0.8197325872640733,0.6698198198198198,0.46492044810879896,0.3077872589301901
spapros_0_eye_5,0.9555180978215111,0.9382213438735179,0.6899616159429354,0.3996563174008921
spapros_0_eye_6,0.8267414174255793,0.7,0.24112451150345066,0.2406659716873686
spapros_0_eye_7,0.8956141554738277,0.85,0.359239143821933,0.28858793760599416
spapros_0_eye_8,0.9218704086840551,0.8500790513833995,0.5390791317720859,0.3619038053062741
spapros_0_eye_9,0.894671466074902,0.8,0.38131676290074656,0.3027167575731329
spapros_0_eye_10,0.8662797872570259,0.8,0.2580502496244476,0.24725333261105314
spapros_0_eye_11,0.9209777095869225,0.8473333333333333,0.5136487115250883,0.338245401529291
spapros_0_eye_12,0.9547948278717119,0.9640711462450593,0.6228816434188006,0.38308027547006357
spapros_0_eye_13,0.9555665952691715,0.9467588932806326,0.6442022462223673,0.3963385363048082
spapros_0_eye_14,0.9462958213258433,0.8926534914361,0.6133782526529703,0.38944909578768866
spapros_0_eye_15,0.9425975106712741,0.9274703557312254,0.4902501645214569,0.3427150616456668
spapros_0_eye_16,0.9336877672108388,0.85,0.4486760955156547,0.3357946357300614
spapros_0_eye_17,0.8205367451616224,0.7531949806949805,0.21749920973786413,0.206343752132799
spapros_0_eye_18,0.8625556127901144,0.7922947232947232,0.2794880184878999,0.24664664331901429
spapros_0_eye_19,0.8992801127108603,0.8019999999999999,0.33591769602275356,0.2819410945875318
spapros_0_eye_20,0.9406347575842856,0.9363241106719368,0.42894761829772143,0.3341174912778683
spapros_0_eye_21,0.92704564697952,0.8153333333333332,0.471101278296763,0.32860296713402326
spapros_0_eye_22,0.9383538286127979,0.8873333333333333,0.5491715447389518,0.36963979789488327
spapros_0_eye_23,0.8995693386345742,0.8,0.41554439180367375,0.31444114428283776
spapros_0_eye_24,0.9346300257257874,0.8971857707509882,0.45334447718407533,0.3406424209092326
spapros_0_eye_25,0.9300280381913071,0.9096837944664031,0.46914064809889455,0.3138416153411333
spapros_0_eye_26,0.9225134810266565,0.842,0.4673197027389849,0.331119655445142
spapros_0_eye_27,0.9394262391552038,0.8926666666666667,0.47176868502756936,0.36355217481589086
spapros_0_eye_28,0.9335302603109982,0.9063030303030304,0.4605362767859543,0.33795921714147614
spapros_0_eye_29,0.9213622379503219,0.8126666666666665,0.4757452617938288,0.34261705082827554
spapros_0_eye_30,0.918405809363413,0.8,0.45968116828290706,0.31904212109285207
spapros_0_eye_31,0.9285813032098302,0.8579999999999999,0.4523824140450799,0.32217353731223797
spapros_0_eye_32,0.933994127258296,0.8896758893280634,0.43860898640781343,0.3213283383739706
spapros_0_eye_33,0.942947251044284,0.934505928853755,0.4904845031424304,0.3667751938756429
spapros_0_eye_34,0.923612975338229,0.9084980237154152,0.4541383102326333,0.30775484492895305
spapros_0_eye_35,0.9067432369281591,0.8233333333333335,0.3721327579059513,0.2886904957809412
spapros_0_eye_36,0.9206762460127079,0.8838524374176548,0.4240895250992932,0.3257568127777172
spapros_0_eye_37,0.898798604256668,0.8,0.3819115144634666,0.2942954473235405
spapros_0_eye_38,0.9232496587890381,0.8633333333333331,0.4682504241201213,0.3192940353231987
spapros_0_eye_39,0.9241200307028489,0.8892964426877473,0.4348882155144653,0.32284972403285683
spapros_0_eye_40,0.9124776976722172,0.8686666666666667,0.47571753300966496,0.31389156828166326
spapros_0_eye_41,0.9220044896144122,0.8873333333333333,0.46798521756945755,0.3165822977250164
spapros_0_eye_42,0.9077498903921825,0.8,0.40893975344866274,0.29202739945667483
spapros_0_eye_43,0.9298506174458993,0.8884005270092226,0.43723671062792824,0.3162744543082955
spapros_0_eye_44,0.9330669300999747,0.8840000000000001,0.46070046516394614,0.3229176926249634
spapros_0_eye_45,0.9176121175788984,0.8100000000000002,0.44630372059130463,0.3136238015488962
spapros_0_eye_46,0.9250052928889698,0.8509986824769433,0.42143554184897847,0.31961410245961674
spapros_0_eye_47,0.9357523680542702,0.8759578392621871,0.44175570272548886,0.31620348412426236
spapros_0_eye_48,0.9264017252702722,0.8025691699604742,0.45881407107202155,0.3284199784074265
spapros_0_eye_49,0.9260810192326655,0.8427562582345194,0.503598255461428,0.32174893497170054
spapros_0_eye_50,0.9288217261863394,0.8699341238471673,0.4201636350068156,0.31584979039954963
spapros_0_eye_51,0.9188826725118734,0.8644057971014492,0.4376106851126028,0.32015808483509495
spapros_0_eye_52,0.9321768337788965,0.9276284584980237,0.48841843049336614,0.3099733884511148
spapros_0_eye_53,0.9199953688671444,0.8553333333333335,0.39136057840497374,0.3092659808760783
spapros_0_eye_54,0.9331533300589469,0.9276284584980237,0.48387652076958065,0.3202614318502374
spapros_0_eye_55,0.9313263691586384,0.9043873517786561,0.44682636880545645,0.3105737540005197
