,forest_clfs accuracy,forest_clfs perct acc > 0.8,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,n,eval_dataset,selection_data_id,data_id,dataset,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation,permutation_file,permutation_name,n_datasets,n_permutations,permutations,n_cells
0,0.7093318725398158,0.3030492579545522,0.5931033906726919,0.5702987919946324,50,liver_34,0,0,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_0,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_0,1,6,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"",)",4251
1,0.6310094942802287,0.1834580262218649,0.4036299147009815,0.4717246966968149,50,liver_34,1,1,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_1,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_1,1,6,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"",)",5886
2,0.6584725442411045,0.2364283102831835,0.5081287265906078,0.513524122884974,50,liver_34,2,2,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_2,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_2,1,6,"('998d8dbd-2f42-4611-9973-2da95db46c29',)",9968
3,0.4455282278033448,0.1488567475148056,0.4384725223650902,0.5213636305720435,50,liver_34,3,3,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_3,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_3,1,6,"('61677140-eb79-41d6-aad6-254f7d0bc9ae',)",8489
4,0.6836544938506591,0.2668414405293774,0.5867169050003502,0.5809068524712382,50,liver_34,4,4,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_4,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_4,1,6,"('e5757b8e-5506-424a-a599-60341c981011',)",5414
5,0.6577092196601928,0.2796550438743213,0.5947094115823286,0.5785270763176937,50,liver_34,5,5,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_5,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_5,1,6,"('aad23e04-0dfd-4826-b150-4362f3936849',)",2132
6,0.6988657004850176,0.2750473062705689,0.4324452108647902,0.5432169234048965,50,liver_34,6,6,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_6,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_6,2,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", 'e5757b8e-5506-424a-a599-60341c981011')",11300
7,0.6734919711993108,0.3069352146116674,0.571831970824109,0.5854450072892992,50,liver_34,7,7,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_7,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_7,2,7,"('61677140-eb79-41d6-aad6-254f7d0bc9ae', 'e5757b8e-5506-424a-a599-60341c981011')",13903
8,0.6736440071029133,0.266833387829397,0.6008466209740893,0.5736406139237079,50,liver_34,8,8,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_8,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_8,2,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", 'aad23e04-0dfd-4826-b150-4362f3936849')",8018
9,0.6668784065861237,0.2511143559971182,0.5092739001017396,0.522588600451465,50,liver_34,9,9,liver,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv:permutation_9,../MA/benchmarking/data/test_data/permut_data/liver_permut.csv,permutation_9,2,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"", ""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"")",10137
