,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,n,eval_dataset,selection_data_id,data_id,dataset,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation,permutation_file,permutation_name,n_datasets,n_permutations,permutations,n_cells
0,0.4984272856819907,0.6294088229080713,0.7016769937717966,0.2479528854342718,50,bone_marrow_84,41,41,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_0,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_0,1,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v1"",)",3714
1,0.5117032100787497,0.5841623659103792,0.6601008835850388,0.1655303813809782,50,bone_marrow_84,42,42,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_1,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_1,1,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"",)",3186
2,0.5023152945669593,0.6063512308776151,0.6775208170572274,0.2130334579426923,50,bone_marrow_84,43,43,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_2,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_2,1,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"",)",27913
3,0.5076086928521002,0.5332756212377255,0.653657553730464,0.137753177026896,50,bone_marrow_84,44,44,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_3,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_3,1,7,"('cff18cfc-a679-45f1-b686-510c7c620308',)",5847
4,0.5115729830282403,0.5372035512103945,0.6060149064908822,0.1546290248662889,50,bone_marrow_84,45,45,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_4,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_4,1,7,"('998d8dbd-2f42-4611-9973-2da95db46c29',)",8327
5,0.52572321371283,0.6052372236624469,0.6776688303275084,0.2226015651210165,50,bone_marrow_84,46,46,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_5,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_5,1,7,"('fe737bb8-d231-463c-8c3c-1a6256abf5f1',)",30378
6,0.5758880805170791,0.6441278860373072,0.6710968459599523,0.2158093208629168,50,bone_marrow_84,47,47,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_6,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_6,1,7,"('aad23e04-0dfd-4826-b150-4362f3936849',)",9103
7,0.5528839054330252,0.6380471149071042,0.7137123516951692,0.2922306044103867,50,bone_marrow_84,48,48,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_7,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_7,2,7,"('fe737bb8-d231-463c-8c3c-1a6256abf5f1', 'aad23e04-0dfd-4826-b150-4362f3936849')",39481
8,0.5203539972357698,0.5677849634657439,0.6957978103480518,0.2735771207096724,50,bone_marrow_84,49,49,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_8,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_8,2,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 3' v3"", 'aad23e04-0dfd-4826-b150-4362f3936849')",37016
9,0.538682293076369,0.5846501598834595,0.639736233662352,0.1744061161456365,50,bone_marrow_84,50,50,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_9,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_9,2,7,"('998d8dbd-2f42-4611-9973-2da95db46c29', 'aad23e04-0dfd-4826-b150-4362f3936849')",17430
10,0.5213599694696577,0.5627707469438961,0.6877254729126122,0.2142821775678198,50,bone_marrow_84,51,51,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_10,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_10,2,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", 'cff18cfc-a679-45f1-b686-510c7c620308')",9033
11,0.533680368205529,0.5979881291655181,0.7029573242819586,0.2532487275211541,50,bone_marrow_84,52,52,bone_marrow,lognorm,cell_type,,0,,,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv:permutation_11,../MA/benchmarking/data/test_data/permut_data/bone_marrow_permut.csv,permutation_11,2,7,"(""ea349887-1948-4e42-aa14-9d4311cb73ae_10x 5' v2"", '998d8dbd-2f42-4611-9973-2da95db46c29')",11513
