data_id,dataset,processing,ct_key,n_cts,cells_per_ct_seed,cells_per_ct,bootstrap_seed,permutation
53,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_53
54,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_54
55,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_55
56,eye,lognorm,cell_type,None,0,None,None,None
57,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_0
58,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_1
59,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_2
60,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_3
61,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_4
62,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_5
63,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_6
64,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_7
65,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_8
66,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_9
67,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_10
68,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_11
69,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_12
70,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_13
71,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_14
72,eye,lognorm,cell_type,None,0,None,None,../MA/benchmarking/data/test_data/permut_data/eye_permut_one.csv:permutation_15
73,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_0
74,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_1
75,eye,lognorm,cell_type,None,0,None,None,../../../../../../lustre/groups/ml01/workspace/lena.strasser/MA/benchmarking/data/test_data/permut_data/eye_permut.csv:permutation_2
