,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,knn_overlap mean_overlap_AUC
spapros_1_HLCA_132,0.0558762168217678,0.1097611583417599,0.6684220239681592,0.2088459902389159,0.0098591136491649,0.0098591136491649,0.0098591136491649
spapros_0_HLCA_132,0.3153576526338581,0.3411577836046414,0.7942065984419532,0.5510613531143268,0.0133622314496041,0.0133622314496041,0.0133622314496041
spapros_2_HLCA_132,0.3754113197197559,0.3817088980852576,0.8172964616137847,0.6843103588137948,0.0187730606141691,0.0187730606141691,0.0187730606141691
spapros_3_HLCA_132,0.4453784490465683,0.4457331339486837,0.8288872699122958,0.7555962173733533,0.0319363851194647,0.0319363851194647,0.0319363851194647
spapros_4_HLCA_132,0.5345166320639814,0.5785270918752754,0.8426768147159696,0.779316336965337,0.0962888089077492,0.0962888089077492,0.0962888089077492
spapros_5_HLCA_132,0.598074194853688,0.6530025796326193,0.8394738972032532,0.7802209292758321,0.2005084641386388,0.2005084641386388,0.2005084641386388
spapros_6_HLCA_132,0.6911816130709472,0.7125936637138754,0.841155396004721,0.788997919531718,0.3550673354229664,0.3550673354229664,0.3550673354229664
spapros_10_HLCA_132,0.7237997707880197,0.7382393271686296,0.8406350531767495,0.7768898292135357,0.4747473097894157,0.4747473097894157,0.4747473097894157
spapros_11_HLCA_132,0.7567095746330714,0.7523852299847995,0.8463905106155489,0.7717062895964827,0.5876712998103443,0.5876712998103443,0.5876712998103443
spapros_7_HLCA_132,0.7672801518652658,0.7739916574701708,0.8511663919785015,0.7684830917874396,0.6707292507526824,0.6707292507526824,0.6707292507526824
spapros_1_HLCA_133,0.0714984802074364,0.1415258582424052,0.6117130546147981,0.1817518681803401,0.0091161337246864,0.0091161337246864,0.0091161337246864
spapros_0_HLCA_133,0.1257702942922071,0.2943090062131749,0.7611633033951225,0.5021062816644143,0.0121464223813046,0.0121464223813046,0.0121464223813046
spapros_2_HLCA_133,0.3661806061344905,0.3550494284469042,0.8024895124943549,0.6495734459671095,0.0159992727834829,0.0159992727834829,0.0159992727834829
spapros_3_HLCA_133,0.4240822638889079,0.4191870972559268,0.8284246961302794,0.7013434395268627,0.0261671712234559,0.0261671712234559,0.0261671712234559
spapros_4_HLCA_133,0.5127523733778088,0.5526173479913525,0.8452297974679447,0.785441139599642,0.0712856124325877,0.0712856124325877,0.0712856124325877
spapros_5_HLCA_133,0.5858394220548984,0.6382166666838937,0.84443812297392,0.7884508856682769,0.1686997973078176,0.1686997973078176,0.1686997973078176
spapros_6_HLCA_133,0.6806231523725403,0.7202338395724421,0.8437548429233276,0.7684573268921094,0.3734727946238383,0.3734727946238383,0.3734727946238383
spapros_10_HLCA_133,0.7328386002546952,0.7529698078329874,0.8490547985856204,0.7785314009661836,0.5402251931147811,0.5402251931147811,0.5402251931147811
spapros_11_HLCA_133,0.7615276759844951,0.7708966711083726,0.8499900734226514,0.7802705314009661,0.6493005623515935,0.6493005623515935,0.6493005623515935
spapros_7_HLCA_133,0.7763738953479794,0.7888094890246842,0.8506763693510258,0.7726312399355877,0.7482694089250873,0.7482694089250873,0.7482694089250873
spapros_1_HLCA_134,0.0941207195330241,0.1851457357913673,0.558542560174484,0.1042178836455395,0.0120207022243004,0.0120207022243004,0.0120207022243004
spapros_0_HLCA_134,0.3469483956484868,0.3868958524353723,0.6315271724758748,0.3198108149881757,0.0186675480143788,0.0186675480143788,0.0186675480143788
spapros_2_HLCA_134,0.4363416262094093,0.4790243717713084,0.7078475782343988,0.487826701820461,0.0317317514655255,0.0317317514655255,0.0317317514655255
spapros_3_HLCA_134,0.5160598300482309,0.5462534522135378,0.7353444451225817,0.5836444444444443,0.0530451146246224,0.0530451146246224,0.0530451146246224
spapros_4_HLCA_134,0.5854904090186023,0.6317455378098064,0.7848059119027223,0.6509998917816027,0.1090520230835701,0.1090520230835701,0.1090520230835701
spapros_5_HLCA_134,0.6497920693902,0.6953722253051913,0.7962977648448436,0.6951577982298386,0.2132631353084759,0.2132631353084759,0.2132631353084759
spapros_6_HLCA_134,0.7292519853191488,0.7356092071890215,0.8067925861139449,0.7118424486053807,0.3955293504016159,0.3955293504016159,0.3955293504016159
spapros_10_HLCA_134,0.7206700329183564,0.7600855599129973,0.8053507945871754,0.7130103318170596,0.5403186063807133,0.5403186063807133,0.5403186063807133
spapros_11_HLCA_134,0.7636730939003111,0.7734548942116336,0.8077506844498914,0.7145717408935431,0.6287814464978876,0.6287814464978876,0.6287814464978876
spapros_7_HLCA_134,0.7993576583122439,0.7854462830389484,0.8164101008274672,0.7333333333333333,0.8300045020567735,0.8300045020567735,0.8300045020567735
spapros_1_HLCA_135,0.1195025934772351,0.2272262905176852,0.6926267031059952,0.263168670929045,0.0114600956560951,0.0114600956560951,0.0114600956560951
spapros_0_HLCA_135,0.1053126688381777,0.2774771420416769,0.7663517866343497,0.3837177325286177,0.0124754242874033,0.0124754242874033,0.0124754242874033
spapros_2_HLCA_135,0.3736316522280213,0.3645826710211878,0.8167864437021731,0.5927193832094872,0.0196839578157309,0.0196839578157309,0.0196839578157309
spapros_3_HLCA_135,0.4429398214525019,0.4513366589522203,0.838461143281956,0.7126880653142897,0.0333724309641058,0.0333724309641058,0.0333724309641058
spapros_4_HLCA_135,0.5517567726532077,0.5894726814174379,0.8529086540956999,0.7833065105727749,0.1050023232117461,0.1050023232117461,0.1050023232117461
spapros_5_HLCA_135,0.6300142609763135,0.6819605348550246,0.8486832424330869,0.7814428341384863,0.2269583761465153,0.2269583761465153,0.2269583761465153
spapros_6_HLCA_135,0.7091781063254896,0.7456499315730468,0.8457875045184341,0.76856038647343,0.4277933940537083,0.4277933940537083,0.4277933940537083
spapros_10_HLCA_135,0.761795729515411,0.7647933402572333,0.8490313248223497,0.7673752012882447,0.5730150532786202,0.5730150532786202,0.5730150532786202
spapros_11_HLCA_135,0.7654061952568151,0.777365299623767,0.8531241801934691,0.7832077294685988,0.6725701343688785,0.6725701343688785,0.6725701343688785
spapros_7_HLCA_135,0.7898236909482399,0.7882457282403751,0.8548104108573031,0.7796392914653784,0.7231948524966992,0.7231948524966992,0.7231948524966992
spapros_1_HLCA_136,0.0469528294559623,0.1435249672233026,0.7415966981580322,0.4730253695454732,0.0132229869055734,0.0132229869055734,0.0132229869055734
spapros_0_HLCA_136,0.3254677039693076,0.3366136739939033,0.7939660384734244,0.6899066210226178,0.0175345467411793,0.0175345467411793,0.0175345467411793
spapros_2_HLCA_136,0.4277367792249849,0.4502212401597388,0.8151371028960246,0.7501277807162919,0.0313364703507827,0.0313364703507827,0.0313364703507827
spapros_3_HLCA_136,0.5163774353937988,0.5505349295337407,0.8383935555245673,0.7802754681053631,0.0590540306158073,0.0590540306158073,0.0590540306158073
spapros_4_HLCA_136,0.612999519772286,0.6808178998075272,0.8450231655905498,0.7805108313645283,0.1917111166263742,0.1917111166263742,0.1917111166263742
spapros_5_HLCA_136,0.7201441029103067,0.7468659438842485,0.8541159517203812,0.7867375201288245,0.3960644525758141,0.3960644525758141,0.3960644525758141
spapros_6_HLCA_136,0.7720297684537583,0.7808656245050688,0.8530521093047927,0.7762049480310349,0.6526007342188467,0.6526007342188467,0.6526007342188467
spapros_10_HLCA_136,0.8089993411560401,0.7889353933751835,0.8495686720937352,0.7720515297906602,0.7824882010167415,0.7824882010167415,0.7824882010167415
spapros_11_HLCA_136,0.7982955572872376,0.792400660889035,0.8558100021512863,0.7738164251207729,0.8505341503010959,0.8505341503010959,0.8505341503010959
spapros_7_HLCA_136,0.8015857665632857,0.798221584643124,0.8574207669269599,0.7755684380032205,0.9137483771482114,0.9137483771482114,0.9137483771482114
spapros_1_HLCA_137,0.0989290541480454,0.1776009052226832,0.6348969134349102,0.1974294239816383,0.0095210528161713,0.0095210528161713,0.0095210528161713
spapros_0_HLCA_137,0.247209263904599,0.2634166459287325,0.7572184207853987,0.4905251313506564,0.0106719713766694,0.0106719713766694,0.0106719713766694
spapros_2_HLCA_137,0.3434731637601496,0.3449246167925336,0.8111246036485549,0.6118794690306811,0.018122042992023,0.018122042992023,0.018122042992023
spapros_3_HLCA_137,0.4428375280466711,0.4458820016649669,0.8354215543594806,0.7397954310997821,0.0328827153292844,0.0328827153292844,0.0328827153292844
spapros_4_HLCA_137,0.5429286701365323,0.5913744664451961,0.8490272397677819,0.7831834690927039,0.0994605343646281,0.0994605343646281,0.0994605343646281
spapros_5_HLCA_137,0.6691129724760947,0.6924479404481072,0.8465313405459679,0.7868676610599806,0.2418039506861772,0.2418039506861772,0.2418039506861772
spapros_6_HLCA_137,0.7154297985842586,0.7436942233611704,0.8485426228737436,0.7885828602324949,0.4604054187370767,0.4604054187370767,0.4604054187370767
spapros_10_HLCA_137,0.7487984500487194,0.7670004337939449,0.8528168132582461,0.7736992136535134,0.6212015302532816,0.6212015302532816,0.6212015302532816
spapros_11_HLCA_137,0.7683867589968205,0.7821008587667995,0.8520923553057417,0.7765619380090972,0.713462285412504,0.713462285412504,0.713462285412504
spapros_7_HLCA_137,0.7966709714452501,0.7956779288237745,0.8512505148719546,0.7729548526628816,0.8302839965106492,0.8302839965106492,0.8302839965106492
spapros_1_HLCA_138,0.0670653027286553,0.1376474003079533,0.7572117737506594,0.427443520837509,0.0153958243682126,0.0153958243682126,0.0153958243682126
spapros_0_HLCA_138,0.4018122437559041,0.4062621066196651,0.8082133517472748,0.7329374506277367,0.0194740822235226,0.0194740822235226,0.0194740822235226
spapros_2_HLCA_138,0.4685288283730086,0.4832570300401146,0.8251879957685619,0.7655368666031944,0.0363068017320906,0.0363068017320906,0.0363068017320906
spapros_3_HLCA_138,0.52753959397792,0.5740577404167402,0.838701657152885,0.7601986905979284,0.0677905325618915,0.0677905325618915,0.0677905325618915
spapros_4_HLCA_138,0.6354954976424694,0.6919587873683876,0.844539893577251,0.7609966500934444,0.2216739558214436,0.2216739558214436,0.2216739558214436
spapros_5_HLCA_138,0.7141919001950395,0.7389373383899511,0.8445036174391786,0.776846762344699,0.424116582372026,0.424116582372026,0.424116582372026
spapros_6_HLCA_138,0.7805904112829635,0.7808762413385855,0.8568763406170496,0.7755297906602254,0.6562531997545664,0.6562531997545664,0.6562531997545664
spapros_10_HLCA_138,0.7916296520644437,0.7866006148430223,0.8531883766142677,0.770840579710145,0.7743659523330161,0.7743659523330161,0.7743659523330161
spapros_11_HLCA_138,0.8014047113709273,0.7894719937920538,0.8548026097469259,0.7761867954911433,0.8397943298116548,0.8397943298116548,0.8397943298116548
spapros_7_HLCA_138,0.7965204749266503,0.8009167697031163,0.8527372127432794,0.7767407407407406,0.8933482716450878,0.8933482716450878,0.8933482716450878
spapros_1_HLCA_139,0.0828144971186315,0.1857946808626812,0.6541102420597042,0.1451613621278401,0.0104869502863459,0.0104869502863459,0.0104869502863459
spapros_0_HLCA_139,0.0771561452295026,0.2204513000673289,0.7246880246141553,0.3373463085434259,0.0114617445735997,0.0114617445735997,0.0114617445735997
spapros_2_HLCA_139,0.3079736103099685,0.3284460385809831,0.7698400259903994,0.4580002120420161,0.0134294743044241,0.0134294743044241,0.0134294743044241
spapros_3_HLCA_139,0.373544724388818,0.3830005739331561,0.7913324895626268,0.5652351370530061,0.0221055682116018,0.0221055682116018,0.0221055682116018
spapros_4_HLCA_139,0.5184925483000996,0.557529836614511,0.8223075553161855,0.6802258278352913,0.0683057204726428,0.0683057204726428,0.0683057204726428
spapros_5_HLCA_139,0.6090409150338707,0.6429762196961961,0.8417781475783136,0.7855295320709469,0.1649036214674778,0.1649036214674778,0.1649036214674778
spapros_6_HLCA_139,0.6758724514210237,0.7099651588000722,0.8464422858113642,0.7737520128824475,0.3368936815506608,0.3368936815506608,0.3368936815506608
spapros_10_HLCA_139,0.704816766177343,0.7235282265802757,0.8475068390036498,0.775034568684838,0.4351831558059037,0.4351831558059037,0.4351831558059037
spapros_11_HLCA_139,0.7059502698725334,0.7432704663716395,0.8491655038683247,0.7753421488768993,0.5188832924353062,0.5188832924353062,0.5188832924353062
spapros_7_HLCA_139,0.7754113383225346,0.782356056044554,0.8500429215677073,0.7790724637681159,0.6572649705849324,0.6572649705849324,0.6572649705849324
spapros_1_HLCA_140,0.0330365465635945,0.1189990945405619,0.6478339173467837,0.2731442611044299,0.009643532548178,0.009643532548178,0.009643532548178
spapros_0_HLCA_140,0.2334361408606029,0.2644307301703789,0.7429595753591,0.3663587857653924,0.0113369826489496,0.0113369826489496,0.0113369826489496
spapros_2_HLCA_140,0.2994108668370991,0.3013100872584928,0.7842210105653671,0.4954956378640764,0.0164127915182043,0.0164127915182043,0.0164127915182043
spapros_3_HLCA_140,0.415993217819854,0.4083686270172875,0.8175259549991793,0.6257755886301127,0.0308489522751885,0.0308489522751885,0.0308489522751885
