,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,knn_overlap mean_overlap_AUC
spapros_0_HLCA_61,0.1352370491674654,0.3588698400075382,0.6610460310806019,0.2789500649791675,,,
spapros_0_HLCA_62,0.6605255626574759,0.5757250060589677,0.8031087764797025,0.5295548041609547,,,
spapros_0_HLCA_63,0.6319679791438284,0.5707625283999868,0.7539019180004789,0.4429196064033791,,,
spapros_0_HLCA_64,0.6738542307028947,0.5898790280677838,0.7935967160030459,0.5098992090043954,,,
spapros_0_HLCA_65,0.6098386348102358,0.5423349721265751,0.8079842009423338,0.5496789308464662,,,
spapros_0_HLCA_66,0.665119139692548,0.5976685264197933,0.8241192983378846,0.6177189209774473,,,
spapros_0_HLCA_67,0.6592034381413493,0.6103966012172563,0.8037277964767571,0.5603481957136263,,,
spapros_0_HLCA_68,0.6659617333410099,0.5943805406833409,0.8156461138379492,0.6045195885227344,,,
spapros_0_HLCA_69,0.6567261260294275,0.5933032754628158,0.816259529173584,0.6131291069445021,,,
spapros_0_HLCA_70,0.6952207463999319,0.6214821351662337,0.8369872898424269,0.6193069173968818,,,
spapros_0_HLCA_71,0.645231655213369,0.5916996599759826,0.8243054458813293,0.6406014188887793,,,
spapros_0_HLCA_72,0.6726019173191715,0.5817496228885272,0.8228751900972554,0.578044863335699,,,
spapros_0_HLCA_73,0.6634831061133508,0.5821967620377424,0.8100107345925877,0.5740351941163366,,,
spapros_0_HLCA_74,0.6596901217095008,0.5832884467923345,0.8185027868429667,0.6170964046265742,,,
spapros_0_HLCA_75,0.6754142580098167,0.5928570239912357,0.8290967442383229,0.6245249500411333,,,
spapros_0_HLCA_76,0.637841211663254,0.5566659084665685,0.8082837445500414,0.5551928608991485,,,
spapros_0_HLCA_77,0.6405359165484041,0.5614589302445064,0.8074747607049205,0.5931477180161873,,,
