,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap mean_overlap_AUC,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full
spapros_0_HLCA_68,0.8021404529100273,0.6130492004755648,,0.6143803380776143,0.5624270101200636,,
spapros_0_HLCA_69,0.8310270614782036,0.6983491367664107,,0.7350440424418279,0.6062744664093505,,
spapros_0_HLCA_70,0.81037869508306,0.6008666867482111,,0.7229730422877996,0.593100586161456,,
spapros_0_HLCA_71,0.8181044569476646,0.6117371687393888,,0.6842098279501003,0.5936413154396184,,
spapros_0_HLCA_72,0.8247016351604293,0.6673771744102215,,0.7095214336438618,0.591593987327564,,
spapros_0_HLCA_73,0.8028073940352611,0.6254881717987955,,0.5114092336730918,0.5676145967286547,,
spapros_0_HLCA_74,0.8058809194425547,0.5628711974051389,,0.6497665633940273,0.5800680412084861,,
spapros_0_HLCA_75,0.8148739161495124,0.6352547616980451,,0.7182582280220575,0.6092017180763175,,
spapros_0_HLCA_76,0.8041889825389059,0.62883508935525,,0.5235346079590477,0.5686385126589719,,
spapros_0_HLCA_77,0.8095832732733276,0.6116749220162109,,0.5791820104721502,0.5654119757277639,,
spapros_0_HLCA_78,0.8035144880676156,0.5861914418624079,,0.6404707308235444,0.5736253807306426,,
spapros_0_HLCA_79,0.8176337433801122,0.6092945113546867,,0.5539023286309581,0.5788625821712662,,
spapros_0_HLCA_80,0.8286786424847435,0.6907454757855833,,0.6303469142988334,0.5868527601677406,,
spapros_0_HLCA_81,0.7947482316697289,0.626227274249255,,0.6962168324416638,0.5779676196156989,,
spapros_0_HLCA_82,0.8156469364784806,0.6261382693511306,,0.6391484195708541,0.575300406943029,,
spapros_0_HLCA_83,0.8052222544358703,0.584142334774828,,0.5315264191481841,0.5584543038174168,,
spapros_0_HLCA_84,0.8050032795630747,0.627174810659774,,0.6479308466855136,0.5807228811367086,,
spapros_0_HLCA_85,0.8280537502863725,0.6433602361127104,,0.5767328105822493,0.5947997871063821,,
spapros_0_HLCA_86,0.788170794238233,0.6048641135039228,,0.6340519307466719,0.563824661054375,,
spapros_0_HLCA_87,0.8250536118314977,0.6974668116838498,,0.6566436262665056,0.5603135449701557,,
spapros_0_HLCA_88,0.8042791440736043,0.5810350738793901,,0.659270747169832,0.5783126193325154,,
spapros_0_HLCA_89,0.8091664533715477,0.6402690185125923,,0.6865433923708049,0.5697614672624733,,
spapros_0_HLCA_90,0.8257556515470975,0.668777587928178,,0.553246296234716,0.5643348399434995,,
spapros_0_HLCA_91,0.8307918244175165,0.7336708444409957,,0.6836611304062018,0.5987512913650965,,
spapros_0_HLCA_92,0.8095529724708581,0.6234012726201408,,0.692410057270654,0.5963122058434951,,
spapros_0_HLCA_93,0.818694108390426,0.6573426006960728,,0.6298972470148059,0.5593804331235906,,
spapros_0_HLCA_94,0.8142245725374422,0.6760655458119915,,0.5413616556757483,0.5577626253979748,,
spapros_0_HLCA_95,0.8151312493854013,0.634803735248594,,0.512253679868638,0.5613255040228975,,
spapros_0_HLCA_96,0.8179349225846162,0.6590171096229018,,0.5386027649318369,0.5641828493033776,,
spapros_0_HLCA_97,0.8126744885556365,0.6430917409777666,,0.5829096430877994,0.5658906744158588,,
spapros_0_HLCA_98,0.8243058924437227,0.6652043552793954,,0.6027136631884046,0.570630824765677,,
spapros_0_HLCA_99,0.8020860781262413,0.6431713000927337,,0.6448151370770756,0.5582317780768512,,
spapros_0_HLCA_100,0.8025591351155534,0.6233270991408085,,0.6808494132847542,0.5769595253014754,,
spapros_0_HLCA_101,0.812195870021231,0.6138789313199837,,0.6025234310050023,0.5584306412487613,,
spapros_0_HLCA_102,0.81557970368101,0.6395392007693533,,0.6554354491302012,0.587773452579292,,
spapros_0_HLCA_103,0.8155691386349485,0.662764900075923,,0.5962515318580148,0.5639500161280915,,
spapros_0_HLCA_104,0.8107915517192679,0.6432169362259311,,0.6412842157396796,0.5635050771806484,,
spapros_0_HLCA_105,0.8118535949707846,0.608244221865326,,0.5316160416991781,0.5633809018718571,,
spapros_0_HLCA_106,0.8266106459271838,0.662830708945453,,0.5433465363945773,0.5486525043559037,,
spapros_0_HLCA_107,0.8177504690743895,0.6524604290924638,,0.5791373245698038,0.5439042272696758,,
spapros_0_HLCA_108,0.8154634983134501,0.6032543206161654,,0.6163435199460718,0.5699012605597116,,
spapros_0_HLCA_109,0.8144905508075437,0.6272165748387311,,0.6167430975600768,0.5808068146535786,,
spapros_0_HLCA_110,0.8210439508198064,0.6656409658640121,,0.598504579191107,0.5907366023114549,,
spapros_0_HLCA_111,0.8071139887807839,0.584615861087778,,0.6533460491681371,0.5639984819494945,,
spapros_0_HLCA_112,0.8164248250661607,0.6579222280463498,,0.4996917158146067,0.5398651318019896,,
spapros_0_HLCA_113,0.8158230862797224,0.6736881174363424,,0.590692272378794,0.5780534066335649,,
spapros_0_HLCA_114,0.8164177500654455,0.641772475343857,,0.6367394702920914,0.5649745072153591,,
spapros_0_HLCA_115,0.8159322229253301,0.6467443993951454,,0.651343318771842,0.5844640658530436,,
spapros_0_HLCA_116,0.8206372954950856,0.6097400429755335,,0.6294374253762766,0.584573592735255,,
spapros_0_HLCA_117,0.8152725642721661,0.6388500492424403,,0.629720664562564,0.5756487239580073,,
spapros_0_HLCA_118,0.8040966315344709,0.5688933555595308,,0.4174785868109253,0.5486761245378018,,
spapros_0_HLCA_119,0.8056563446722754,0.6162067011034664,,0.47573671396075484,0.5397492338503832,,
spapros_0_HLCA_120,0.817126536845297,0.6671587750046352,,0.6073578226315876,0.5842767804313318,,
spapros_0_HLCA_121,0.8255318957385444,0.6747846902118424,,0.6412530646812817,0.5731653774246223,,
spapros_0_HLCA_122,0.820890001756269,0.6281396649970108,,0.6681380355054785,0.5840362196994138,,
spapros_0_HLCA_123,0.8227475111477955,0.6483565314650954,,0.5658159271593333,0.5816364465190327,,
spapros_0_HLCA_124,0.8172228904353472,0.6472837901918005,,0.6695976755321565,0.5913031156607326,,
spapros_0_HLCA_125,0.8244357481918022,0.6900193728792956,,0.5041153063177817,0.55037827520517,,
spapros_0_HLCA_126,0.8027976617832973,0.580946059427521,,0.6302229612618665,0.5671526778655214,,
spapros_0_HLCA_127,0.8186292533488652,0.6450607652896708,,0.6721865823317594,0.5826514692928711,,
spapros_0_HLCA_128,0.8228496056044405,0.6418377340785318,,0.650646065199546,0.5793683830740882,,
spapros_0_HLCA_129,0.825820795640228,0.6637289658014756,,0.6762247222779977,0.5791709085558197,,
spapros_0_HLCA_130,0.8120390841065088,0.6507519169624412,,0.5637731000942777,0.5444306495621322,,
spapros_0_HLCA_131,0.8110734315479291,0.6250806973441385,,0.6524628239761874,0.5752361199133526,,
