,cluster_similarity nmi_5_20,cluster_similarity nmi_21_60,forest_clfs accuracy,forest_clfs perct acc > 0.8,knn_overlap_X_id mean_overlap_AUC batch_mean,knn_overlap_X_id mean_overlap_AUC full,knn_overlap mean_overlap_AUC
spapros_0_HLCA_61,0.4272568716161541,0.5337336880127225,0.8406744115687446,0.6506549182241294,,,
spapros_0_HLCA_62,0.1826829477899939,0.2304474411480363,0.8029457843650801,0.6,,,
spapros_0_HLCA_63,0.2123892948542994,0.291598968601378,0.7694309017174434,0.4591981124882093,,,
spapros_0_HLCA_64,0.1551909379024706,0.2085254919175994,0.7449571006574287,0.4980980392156863,,,
spapros_0_HLCA_65,0.3141269019497107,0.3198984964149161,0.7711410470576684,0.5266666666666667,,,
spapros_0_HLCA_66,0.1515874065775756,0.2278702452813017,0.7310704375152994,0.3839212140631023,,,
spapros_0_HLCA_67,0.206603498894596,0.2740184548599074,0.6961237678267784,0.2965698957726114,,,
spapros_0_HLCA_68,0.1200494288149203,0.1990540213721568,0.7911101095724875,0.5758333333333333,,,
spapros_0_HLCA_69,0.2963021188755338,0.3025717931263396,0.7821228143723387,0.5784999999999998,,,
spapros_0_HLCA_70,0.137065930452474,0.191978720383332,0.7238396768081119,0.4414056891388291,,,
spapros_0_HLCA_71,0.1023084516491912,0.1691593290508851,0.7435915886157763,0.405922969187675,,,
spapros_0_HLCA_72,0.1766526136131573,0.2387178032410783,0.7909457196112736,0.5431190476190475,,,
spapros_0_HLCA_73,0.1458027010863213,0.2437726200714665,0.7838645513965254,0.5549999999999999,,,
spapros_0_HLCA_74,0.1501366775660615,0.2082916020996518,0.7830334605512167,0.5033333333333333,,,
spapros_0_HLCA_75,0.1854455195750248,0.2537522621890449,0.779750973206454,0.5820000000000001,,,
spapros_0_HLCA_76,0.1678030381608467,0.2424941801827763,0.7970645828462947,0.6,,,
spapros_0_HLCA_77,0.1184535463413894,0.2175866897646528,0.7950082088664866,0.6,,,
spapros_0_HLCA_78,0.252835550258892,0.3158743038988736,0.8046774636325157,0.5993333333333333,,,
spapros_0_HLCA_79,0.1805099591137612,0.2632042206384632,0.7513158129352173,0.4997857142857144,,,
spapros_0_HLCA_80,0.1542803531178079,0.1972064911920462,0.7800125007207639,0.4771985776898478,,,
spapros_0_HLCA_81,0.1820276575573312,0.246523340126471,0.754778061426523,0.4,,,
spapros_0_HLCA_82,0.1553362406218638,0.2383953414636874,0.7830302498033503,0.5512619047619045,,,
